Sample in Buffer,Sample in Window,TRIGGER,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(dac_ctrl_ch4)[2:0],Interface_(i4:s1)_(dac_ctrl_ch5)[2:0],Interface_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],Interface_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0],T_Channel_(i4:s0)_(dac_ctrl_ch4)[2:0],T_Channel_(i4:s1)_(dac_ctrl_ch5)[2:0],T_Channel_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],T_Channel_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
17,17,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000001111111111111000000000000000111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
18,18,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111011111111111100000000000000001111111111111000000000000010,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
19,19,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111111011111111111100000000000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
20,20,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0001001111111111111000000000000000000000000000100000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
21,21,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000001111111111111000000000000100111111111111101111111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
22,22,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1110000000000000000000000000000011111111111100000000000000001111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
23,23,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111110000000000000001111111111111011111111111110000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
24,24,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0011111111111110000000000000000000000000000011111111111110000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
25,25,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000111111111111101111111111111000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
26,26,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111111000000000000000111111111111100000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
